Time (minutes),XRSA (0.5-4 A),XRSB (1-8 A)
-0.008016669750213623,1.2357e-05,8.8125e-07
0.026150000095367432,1.9541e-06,7.1743e-09
0.06025000015894572,1.2341e-05,8.8125e-07
0.09441666603088379,1.943e-06,8.2888e-09
0.12853333155314128,1.232e-05,8.8387e-07
0.16264999707539876,1.9374e-06,6.0599e-09
0.19681666692097982,1.2299e-05,8.8125e-07
0.2309166669845581,1.9252e-06,8.2888e-09
0.2650333325068156,1.2262e-05,8.8125e-07
0.29919999837875366,1.9174e-06,6.0599e-09
0.33331666390101117,1.2246e-05,8.8125e-07
0.36748332977294923,1.9084e-06,4.9454e-09
0.4015833298365275,1.2225e-05,8.8387e-07
0.435699999332428,1.9006e-06,7.1743e-09
0.46986666520436604,1.2194e-05,8.7862e-07
0.5039833307266235,1.8917e-06,6.0599e-09
0.5381499965985616,1.2173e-05,8.8125e-07
0.5722499966621399,1.8839e-06,6.0599e-09
0.6063666661580404,1.2152e-05,8.8387e-07
0.6405333320299784,1.8761e-06,6.0599e-09
0.6746499975522359,1.2131e-05,8.8125e-07
0.708816663424174,1.8672e-06,6.0599e-09
0.7429166634877523,1.2115e-05,8.8387e-07
0.7770333329836527,1.8561e-06,6.0599e-09
0.8111999988555908,1.2079e-05,8.8387e-07
0.8453166643778484,1.8494e-06,7.1743e-09
0.8794833302497864,1.2058e-05,8.8387e-07
0.9135833303133647,1.8382e-06,7.1743e-09
0.9476999998092651,1.2037e-05,8.8649e-07
0.9818666656812032,1.8327e-06,6.0599e-09
1.0159833312034607,1.2005e-05,8.8125e-07
1.0501499970753987,1.826e-06,7.1743e-09
1.084249997138977,1.1979e-05,8.8649e-07
1.1183666666348775,1.8226e-06,6.0599e-09
1.1525333325068157,1.1963e-05,8.8125e-07
1.186649998029073,1.8093e-06,6.0599e-09
1.2208166639010112,1.1942e-05,8.8125e-07
1.2549166639645895,1.8059e-06,6.0599e-09
1.28903333346049,1.1926e-05,8.8387e-07
1.323199999332428,1.797e-06,6.0599e-09
1.3573166648546855,1.1905e-05,8.8649e-07
1.3914833307266234,1.7903e-06,6.0599e-09
1.4255833307902017,1.1874e-05,8.8387e-07
1.4597000002861023,1.7814e-06,6.0599e-09
1.4938666661580404,1.1848e-05,8.8387e-07
1.5279833316802978,1.7725e-06,7.1743e-09
1.562149997552236,1.1822e-05,8.8387e-07
1.5962499976158142,1.7658e-06,4.9454e-09
1.6303666631380718,1.179e-05,8.8387e-07
1.6645333329836527,1.7535e-06,6.0599e-09
1.6986499985059103,1.1758e-05,8.8387e-07
1.7328166643778482,1.7424e-06,6.0599e-09
1.7669166644414267,1.1738e-05,8.9174e-07
1.801033329963684,1.7357e-06,6.0599e-09
1.8351999998092652,1.1706e-05,8.8387e-07
1.8693166653315225,1.7268e-06,6.0599e-09
1.9034833312034607,1.168e-05,8.8912e-07
1.937583331267039,1.719e-06,6.0599e-09
1.9716999967892965,1.1654e-05,8.8649e-07
2.0058666666348777,1.7101e-06,6.0599e-09
2.039983332157135,1.1622e-05,8.8912e-07
2.074149998029073,1.7067e-06,6.0599e-09
2.1082499980926515,1.1606e-05,8.9174e-07
2.142366663614909,1.7e-06,6.0599e-09
2.17653333346049,1.1591e-05,8.8912e-07
2.2106499989827473,1.69e-06,6.0599e-09
2.2448166648546857,1.1564e-05,8.8649e-07
2.2789166649182637,1.6822e-06,6.0599e-09
2.313033330440521,1.1543e-05,8.8912e-07
2.3471499999364216,1.6744e-06,4.9454e-09
2.38131666580836,1.1507e-05,8.8912e-07
2.415416665871938,1.6644e-06,6.0599e-09
2.449583331743876,1.1486e-05,8.8912e-07
2.4836999972661338,1.6621e-06,6.0599e-09
2.5178166667620343,1.1465e-05,8.8387e-07
2.5519833326339723,1.6465e-06,4.9454e-09
2.5860833326975503,1.1428e-05,8.8912e-07
2.6202499985694887,1.641e-06,3.831e-09
2.654366664091746,1.1402e-05,8.8649e-07
2.6884833335876466,1.6276e-06,4.9454e-09
2.7226499994595845,1.1365e-05,8.8387e-07
2.756749999523163,1.6153e-06,4.9454e-09
2.790916665395101,1.1334e-05,8.8387e-07
2.8250333309173583,1.6053e-06,4.9454e-09
2.859149996439616,1.1302e-05,8.8649e-07
2.893316666285197,1.5964e-06,4.9454e-09
2.9274166663487753,1.1255e-05,8.8912e-07
2.9615833322207132,1.5841e-06,3.831e-09
2.9956999977429706,1.1218e-05,8.8649e-07
3.0298166632652284,1.5741e-06,4.9454e-09
3.0639833331108095,1.1187e-05,8.8387e-07
3.0980833331743876,1.563e-06,3.831e-09
3.1322499990463255,1.1155e-05,8.8649e-07
3.1663666645685833,1.5518e-06,4.9454e-09
3.2004833300908406,1.1118e-05,8.8387e-07
3.2346499999364218,1.5474e-06,3.831e-09
3.26875,1.1092e-05,8.8387e-07
3.302916665871938,1.5351e-06,3.831e-09
3.3370333313941956,1.1061e-05,8.8387e-07
3.371149996916453,1.5284e-06,6.0599e-09
3.405316666762034,1.1029e-05,8.8912e-07
3.4394166668256125,1.5184e-06,6.0599e-09
3.4735833326975505,1.1003e-05,8.8649e-07
3.507699998219808,1.5095e-06,3.831e-09
3.5418166637420656,1.0972e-05,8.8912e-07
3.5759833335876463,1.5028e-06,4.9454e-09
3.610083333651225,1.0945e-05,8.9436e-07
3.6442499995231628,1.4972e-06,4.9454e-09
3.6783666650454205,1.0914e-05,8.8912e-07
3.712483330567678,1.4883e-06,6.0599e-09
3.746649996439616,1.0888e-05,8.9174e-07
3.7807499965031943,1.4805e-06,4.9454e-09
3.814916666348775,1.0861e-05,8.9174e-07
3.849033331871033,1.4772e-06,3.831e-09
3.88314999739329,1.0825e-05,8.8912e-07
3.917316663265228,1.4616e-06,4.9454e-09
3.9514166633288066,1.0804e-05,8.9174e-07
3.985533332824707,1.4582e-06,6.0599e-09
4.0196999986966455,1.0772e-05,8.8912e-07
4.053816664218902,1.4493e-06,4.9454e-09
4.08798333009084,1.0741e-05,8.9436e-07
4.122083330154419,1.4381e-06,4.9454e-09
4.15619999965032,1.0699e-05,8.8912e-07
4.190366665522258,1.4315e-06,4.9454e-09
4.224483331044515,1.0672e-05,8.9174e-07
4.258649996916453,1.4259e-06,3.831e-09
4.292749996980032,1.0636e-05,8.9436e-07
4.326866666475932,1.4181e-06,3.831e-09
4.36103333234787,1.0615e-05,8.8912e-07
4.395149997870127,1.4147e-06,3.831e-09
4.429316663742066,1.0578e-05,8.9174e-07
4.463416663805644,1.4069e-06,3.831e-09
4.497533333301544,1.0547e-05,8.9174e-07
4.531699999173482,1.3947e-06,4.9454e-09
4.56581666469574,1.0526e-05,8.9174e-07
4.599983330567678,1.3924e-06,6.0599e-09
4.634083330631256,1.0505e-05,8.8649e-07
4.668200000127157,1.3869e-06,4.9454e-09
4.702366665999095,1.0484e-05,8.8649e-07
4.736483331521352,1.3824e-06,3.831e-09
4.77064999739329,1.0457e-05,8.9174e-07
4.804749997456868,1.3757e-06,3.831e-09
4.838866666952769,1.0431e-05,8.8125e-07
4.873033332824707,1.369e-06,4.9454e-09
4.907149998346965,1.0394e-05,8.8649e-07
4.941316664218903,1.3635e-06,3.831e-09
4.975416664282481,1.0368e-05,8.7862e-07
5.009533329804738,1.3546e-06,3.831e-09
5.043699999650319,1.0337e-05,8.7862e-07
5.077816665172577,1.3468e-06,4.9454e-09
5.111983331044515,1.0295e-05,8.8649e-07
5.146083331108093,1.339e-06,4.9454e-09
5.180199996630351,1.0253e-05,8.8125e-07
5.214366666475931,1.3267e-06,4.9454e-09
5.248483331998189,1.0216e-05,8.8125e-07
5.282649997870127,1.32e-06,6.0599e-09
5.316749997933706,1.0185e-05,8.8649e-07
5.350866663455963,1.3111e-06,3.831e-09
5.3850333333015445,1.0143e-05,8.8125e-07
5.419149998823801,1.3011e-06,4.9454e-09
5.453316664695739,1.0106e-05,8.8125e-07
5.487416664759318,1.2944e-06,4.9454e-09
5.521533330281575,1.0069e-05,8.8387e-07
5.555700000127157,1.2866e-06,4.9454e-09
5.589816665649414,1.0032e-05,8.8125e-07
5.623916665712993,1.2788e-06,4.9454e-09
5.658083331584931,1.0006e-05,8.8125e-07
5.6921999971071875,1.271e-06,3.831e-09
5.726316666603088,9.98e-06,8.8125e-07
5.760483332475027,1.2654e-06,4.9454e-09
5.794583332538605,9.9432e-06,8.8125e-07
5.828749998410543,1.2598e-06,3.831e-09
5.862866663932801,9.917e-06,8.8125e-07
5.896983333428701,1.2531e-06,6.0599e-09
5.931149999300639,9.8908e-06,8.8125e-07
5.965249999364217,1.2464e-06,4.9454e-09
5.999416665236155,9.8593e-06,8.8387e-07
6.033533330758413,1.2398e-06,4.9454e-09
6.0676500002543134,9.8278e-06,8.8125e-07
6.101816666126251,1.2309e-06,6.0599e-09
6.1359166661898294,9.8016e-06,8.8125e-07
6.170083332061767,1.2264e-06,6.0599e-09
6.204199997584025,9.7544e-06,8.8125e-07
6.238316663106283,1.2164e-06,4.9454e-09
6.272483332951864,9.7282e-06,8.7862e-07
6.306583333015442,1.2086e-06,4.9454e-09
6.34074999888738,9.6967e-06,8.8125e-07
6.3748666644096375,1.2041e-06,6.0599e-09
6.408983329931895,9.6599e-06,8.8125e-07
6.443149999777476,1.1985e-06,6.0599e-09
6.477249999841054,9.639e-06,8.8125e-07
6.511416665712992,1.1896e-06,4.9454e-09
6.54553333123525,9.6075e-06,8.8125e-07
6.5796499967575075,1.1874e-06,7.1743e-09
6.613816666603088,9.5812e-06,8.8125e-07
6.647916666666666,1.1818e-06,4.9454e-09
6.682083332538605,9.5498e-06,8.7862e-07
6.716199998060862,1.1729e-06,4.9454e-09
6.75031666358312,9.5183e-06,8.8125e-07
6.7844833334287005,1.1651e-06,4.9454e-09
6.818583333492279,9.4816e-06,8.8125e-07
6.852749999364217,1.1595e-06,4.9454e-09
6.886866664886474,9.4501e-06,8.8387e-07
6.920983330408732,1.1517e-06,4.9454e-09
6.955150000254313,9.4081e-06,8.8387e-07
6.989250000317892,1.1428e-06,6.0599e-09
7.02341666618983,9.3714e-06,8.8649e-07
7.057533331712087,1.1372e-06,6.0599e-09
7.091649997234344,9.3294e-06,8.8912e-07
